@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5415814
@ Q2         %le              43.6091163
@ DATETIME   %08s     "11/11/2019 14:52:43"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQEAE6              MONI                       306.4724249          .0000000        49.5173564         7.7109168        -5.7665443         1.2850857         5.2334767         5.5018162          .0520823          .0583028          .7859344 2.545728075388E-5          .0958497 -1.37630066091E-5 -1.57030707755E-4 -1.91586018328E-5 2.51155625734E-11 -8.2365192413E-13 -2.10585646975E-4          .0019955 3.292280120771E-5 -4.13692280120E-4
  MQF4E5              MONI                       311.0929889          .0000000        29.7674715         9.7145398         2.7591458         -.7444158         5.2509134         5.6011738          .0174367          .0993576          .6238255 -2.49827849715E-5         -.0545224 -1.05147532916E-5 -1.24675533942E-4 1.090198660113E-5 3.98816511453E-11 3.79027417725E-12 6.973876253447E-5          .0012477 -1.78390249905E-5 -1.20053385391E-5
  MQD3E5              MONI                       315.9047700          .0000000         7.5808518        20.3480071          .2164126         1.6557168         5.3065550         5.6527531          .0556416          .0515793          .3126811 -7.27805223476E-5         -.0170188 8.560733050234E-7 -6.24772628395E-5 3.408461032703E-6 5.80018810634E-11 -5.1420229621E-12 -1.64726724901E-4          .0012115 -3.23609479609E-6 -1.06238895625E-4
  MQF2E5              MONI                       326.3546744          .0000000        15.2708765         6.8399452         1.9105457        -1.4870337         5.4820370         5.8568951          .1754820          .2041420          .3472948 1.013884604372E-5         -.0291467 -1.83925134535E-6 -6.93624531877E-5 5.814104788043E-6 4.77808344610E-12 -3.8820641569E-12 2.114976998089E-4          .0021711 2.211359291800E-5 3.282856912235E-4
  MQD1E3              MONI                       331.4944283          .0000000         5.2782115        24.5171833         -.8026400         3.2533485         5.5969003         5.9119541          .1148633          .0550590          .2380860 2.958732702641E-7          .0289093 -2.31353936959E-6 -4.75986205970E-5 -5.79065513539E-6 -1.3097671233E-11 -8.3225348717E-13 -2.68699444057E-4          .0022166 3.188260410947E-5 -3.42732431415E-4
  MQF2E6              MONI                       335.2341822          .0000000        15.6412518         6.7897327        -1.9678546         1.4859754         5.6644278         5.9587674          .0675274          .0468133          .3462429 -8.36115982941E-6          .0289093 -2.31284865561E-6 -6.92585777339E-5 -5.79065513539E-6 -1.6210717070E-11 -8.3225348717E-13 -1.49442499501E-4          .0014936 3.188260410947E-5 -4.61989375975E-4
  MQT1TNE1            MONI                       345.6840866          .0000000         7.5430456        20.3668020         -.1895749        -1.6695532         5.8369924         6.1646757          .1725646          .2059083          .3113304 -4.48776146329E-5          .0169997 -8.47564006724E-6 -6.23438620239E-5 -3.40657232754E-6 -5.7222343051E-11 -4.0564898539E-12 -2.27793626541E-4          .0014941 -3.46327183028E-5 1.331128667596E-4
  MQT2TNE1            MONI                       350.8918337          .0000000        19.9041512        27.0237928        -4.0426559         2.9455201         5.9150626         6.1966128          .0780702          .0319371          .4991003 -7.31083424557E-5          .0943788 4.268632182593E-6 -9.99504182332E-5 -1.89026106784E-5 -6.1625356064E-11 7.74274981695E-12 -9.32778983828E-4          .0041509 8.246331122910E-5 -3.89930606209E-4
  MQTATNE1            MONI                       354.4092937          .0000000        45.5726004        14.2743060         4.3826262        -1.2249885         5.9316898         6.2285163          .0166272          .0319035          .7291734 -6.65787782807E-5         -.0764540 -9.96227370890E-6 -1.45981683582E-4 1.531428379123E-5 -3.9879949168E-11 -1.4145434696E-12 4.425772601255E-4          .0050976 4.143888303009E-5 5.256893056780E-4
  MQT3TNE1            MONI                       359.2821055          .0000000        15.4511685        26.7140121          .6233640         1.0073770         5.9627877         6.2663708          .0310979          .0378546          .3838111 -1.08103589593E-4         -.0314954 1.861819338096E-6 -7.68126539725E-5 6.315922051895E-6 -4.3782641675E-11 3.55860067111E-12 9.037922006776E-5          .0045485 -7.79747261533E-6 -1.55417549466E-4
