@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5420000
@ Q2         %le              43.6090000
@ DATETIME   %08s     "11/12/2019 15:19:22"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQF4E5              MONI                       311.0929889          .0000000        29.1572014         9.9679438         2.7076473         -.7784462         5.2467025         5.6028594          .0177980          .0980633          .6229429 1.78155601181E-12         -.0544983 1.11403198674E-13 1.70316020860E-16 -1.1820345164E-16 -2.4523068990E-16 -6.8549737428E-19 2.74599741026E-12 5.80589973614E-13 1.95996406717E-13 2.88895132775E-13
  MQD3E5              MONI                       315.9047700          .0000000         7.4403316        20.9498176          .2028380         1.7084092         5.3034882         5.6529838          .0567857          .0501243          .3120997 2.33163388984E-12         -.0170657 -2.4651680170E-13 -4.4610259164E-16 -1.8179776915E-16 -2.5537400937E-16 3.81926849142E-17 6.11688228461E-12 -1.7249346681E-11 -6.3855680055E-13 1.91178944842E-12
  MQF2E5              MONI                       326.3546744          .0000000        15.5592215         6.6593999         1.9371572        -1.4349155         5.4789165         5.8563684          .1754283          .2033846          .3463386 1.02145133551E-13         -.0289960 8.91972830112E-14 -2.1453225581E-15 2.44386502597E-16 1.54830891192E-16 6.29555512239E-17 1.06344084097E-12 8.27339832548E-12 1.04210161898E-12 8.74531719038E-12
  MQD1E3              MONI                       331.4944283          .0000000         5.3422016        23.8161932         -.7948461         3.1527643         5.5916237         5.9130424          .1127072          .0566740          .2379008 4.75824699803E-13          .0289960 -3.2480708015E-14 -1.0894953578E-15 -3.8487563072E-17 4.04362148090E-16 -4.3147922411E-17 -1.5493848526E-13 2.11842628815E-11 -2.3199583388E-14 -1.2065408057E-12
  MQF2E6              MONI                       335.2341822          .0000000        15.5592220         6.6593999        -1.9371573         1.4349155         5.6588931         5.9610278          .0672694          .0479854          .3463386 3.54516207836E-13          .0289960 -3.2480708015E-14 -1.2334293721E-15 -3.8487563072E-17 2.42999536835E-16 -4.3147922411E-17 -2.4169921779E-13 1.75759927871E-11 -2.3199583388E-14 -1.1197800732E-12
  MQT1TNE1            MONI                       345.6840866          .0000000         7.4403316        20.9498176         -.2028379        -1.7084092         5.8343214         6.1644124          .1754283          .2033846          .3120997 1.47310636652E-12          .0170657 8.23260815868E-14 7.27903269864E-16 1.97758476261E-16 2.28611162135E-16 4.45368637485E-19 6.48279826226E-12 -2.5218691279E-11 3.48916176380E-13 -1.2525036422E-12
  MQT2TNE1            MONI                       350.8918337          .0000000        20.0134440        27.6411806        -4.0852938         3.0319945         5.9127238         6.1955322          .0784023          .0311198          .5003907 1.48315515860E-12          .0946448 -2.0686508960E-13 2.07862903613E-15 4.91675282642E-16 1.72511560103E-16 -3.6309235200E-17 1.62524036958E-11 -6.9056552897E-11 -2.3222853019E-12 9.90921107483E-12
  MQTATNE1            MONI                       354.4092937          .0000000        45.9537743        14.5078121         4.4063203        -1.2253565         5.9292318         6.2268103          .0165080          .0312781          .7306237 8.81218384533E-13         -.0766869 1.77552873136E-16 3.34436160166E-15 -2.8355303574E-16 5.45905934833E-17 -2.0607789221E-17 -5.4520584020E-12 -6.4226414204E-11 6.85535216289E-14 6.88424550793E-13
  MQT3TNE1            MONI                       359.2821055          .0000000        15.6516229        26.8599377          .6223594         1.0376253         5.9599907         6.2642419          .0307590          .0374316          .3843047 8.24566637692E-13         -.0316631 -9.5330064106E-14 2.10667306871E-15 -4.5291346928E-17 -4.3771749917E-17 -1.6977259797E-17 -7.1000630287E-13 -3.6029453161E-11 1.08317017777E-13 4.58163101707E-12
  MQT4TNE1            MONI                       367.4419758          .0000000        11.3961006        15.0077135         -.1006457          .4136879         6.0645565         6.3308182          .1045658          .0665763          .3287883 7.99854564934E-14          .0240940 1.33038104995E-13 1.73954871053E-15 -4.5102810375E-17 -1.8215262284E-16 -1.6914507434E-17 1.74755818957E-13 -1.9604424101E-14 1.08431485390E-13 3.70513941828E-12
