@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       2.268367489561E10
@ EX         %le       4.540137131516E-9
@ EY         %le       1.13109822909E-13
@ ALFA       %le       4.540768482944E-4
@ Q1         %le              45.5422163
@ Q2         %le              43.6089455
@ DATETIME   %08s     "11/11/2019 14:52:52"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQD3E4              MONI                       270.0136808          .0000000         7.3680312        21.0731873         -.1963532        -1.7307890         4.6834297         5.0426670          .1752428          .2056532          .3121763 5.062838880894E-6          .0171167 3.336304096874E-6 3.121385056206E-5 1.709127690728E-6 -5.7367178654E-12 -8.0156767317E-13 4.538547872830E-5 -5.26574867936E-4 1.103527584026E-5 -5.52464550245E-6
  MQF4E4              MONI                       274.8254620          .0000000        28.8541473        10.0887300        -2.6826459          .7813282         4.7408120         5.0923244          .0573823          .0496574          .6232731 1.640264954919E-5          .0545575 2.640187555545E-6 6.231094690472E-5 5.452808139666E-6 -5.2565038331E-12 7.34103067328E-14 8.134639116698E-5 -6.27017264140E-4 -5.37059073429E-6 1.097481181185E-4
  MQEAE5              MONI                       279.4460260          .0000000        48.0095826         7.7727899         5.5868006        -1.2580832         4.7587938         5.1890788          .0179818          .0967544          .7846028 3.159548086390E-5         -.0958003 7.713085391327E-6 7.844975353826E-5 -9.57695570255E-6 -5.4749708267E-12 -8.5916953723E-13 -7.52772894050E-6 -3.92504048173E-4 1.496970405810E-5 4.191213047421E-5
  MQD5E5              MONI                       285.1974250          .0000000         7.6103926        26.9883589          .5130782         2.0819108         4.8122769         5.2477099          .0534831          .0586311          .2666215 6.848456291673E-5         -.0421617 -4.76686477058E-6 2.666414762456E-5 -4.21301378889E-6 -9.3766515825E-12 8.72967178615E-13 1.631959364736E-4 -5.96543287918E-4 -7.95328734678E-6 6.314278830403E-5
  MQF6E3              MONI                       292.5092254          .0000000         8.9762684         7.0694634         -.6999795          .6382463         4.9849230         5.3364491          .1726461          .0887392          .1632543 4.811093263809E-6          .0135955 3.643071178332E-7 1.634944119890E-5 1.362702371090E-6 -2.9785089369E-12 8.76192966087E-13 1.047560411621E-4 -8.99472650292E-4 -8.02314504920E-6 1.219668638749E-4
  MQD5E6              MONI                       300.7210258          .0000000         7.6086145        26.6455877         -.5131536        -2.0512708         5.1730878         5.4469001          .1881648          .1104510          .2662756 -4.45859330504E-5          .0421171 -1.22110118754E-6 2.664671559230E-5 4.210767470720E-6 8.85978316537E-13 4.47465418552E-13 -1.64332453814E-6         -.0010482 5.207252210463E-6 -6.20767920779E-5
  MQEAE6              MONI                       306.4724249          .0000000        48.0066433         7.6779313        -5.5867569         1.2372444         5.2265791         5.5063066          .0534913          .0594065          .7836484 -1.07574289262E-5          .0956872 6.705930520572E-6 7.840166797097E-5 9.571258194341E-6 2.42096472389E-12 2.45166272972E-13 1.084376079223E-4         -.0010009 -1.80155815262E-5 2.175564513709E-4
  MQF4E5              MONI                       311.0929889          .0000000        28.8543559        10.0984253         2.6823586         -.7955128         5.2445614         5.6036904          .0179823          .0973838          .6225295 1.505036817439E-5         -.0544880 5.436742432107E-6 6.227347893691E-5 -5.44930954713E-6 5.48594750295E-12 7.27673860445E-13 -2.85241740824E-5 -6.00366434708E-4 9.914524409944E-6 1.374930072324E-5
  MQD3E5              MONI                       315.9047700          .0000000         7.3695632        21.2553923          .1961684         1.7353604         5.3019373         5.6531028          .0573759          .0494124          .3118264 3.981883339403E-5         -.0170887 -7.74360591565E-7 3.119621201162E-5 -1.70772313768E-6 8.90118291533E-12 -6.4716536783E-13 9.396116506478E-5 -6.06242256982E-4 5.867811925110E-7 5.538914578601E-5
  MQF2E5              MONI                       326.3546744          .0000000        15.7064552         6.5710712         1.9505702        -1.4095142         5.4773602         5.8561320          .1754229          .2030291          .3458805 -4.16869068724E-6         -.0289243 1.202183692730E-6 3.461084513246E-5 -2.89599222411E-6 2.33908499469E-12 -1.7725201459E-13 -1.01754171406E-4         -.0010709 -9.10267303984E-6 -1.50444312939E-4
